FrameId CupId Xmin Xmax Ymin Ymax 
47 2 1101 1379 410 745 
48 1 744 991 431 692 
48 2 1108 1376 402 732 
49 1 755 1026 444 679 
49 2 1127 1381 390 734 
50 1 755 1026 444 679 
50 2 1127 1381 390 734 
51 1 745 1003 445 664 
51 2 1127 1381 390 734 
52 1 723 962 433 680 
52 2 1127 1381 390 734 
53 1 723 962 433 680 
53 2 1158 1396 369 743 
54 1 723 962 433 680 
54 2 1145 1393 387 762 
55 1 723 962 433 680 
55 2 1145 1393 387 762 
56 1 723 962 433 680 
56 2 1145 1393 387 762 
57 1 723 962 433 680 
57 2 1143 1413 390 766 
58 1 711 969 432 691 
58 2 1161 1431 305 652 
59 1 711 969 432 691 
59 2 1147 1440 329 655 
60 1 711 969 432 691 
60 2 1150 1459 307 631 
61 1 685 1005 436 708 
61 2 1138 1418 308 617 
62 1 685 1005 436 708 
62 2 1138 1418 308 617 
63 1 685 1005 436 708 
63 2 1140 1448 314 640 
64 1 704 1020 458 735 
64 2 1140 1448 314 640 
65 1 653 973 453 704 
65 2 1129 1442 340 642 
66 1 653 973 453 704 
66 2 1150 1454 299 590 
67 1 659 999 483 724 
67 2 1150 1454 299 590 
68 1 648 977 484 718 
68 2 1150 1454 299 590 
69 1 657 994 485 741 
69 2 1150 1454 299 590 
70 1 639 984 508 753 
70 2 1123 1409 333 610 
71 1 639 984 508 753 
71 2 1129 1426 324 597 
72 1 610 934 497 755 
72 2 1129 1426 324 597 
73 1 665 966 517 791 
73 2 1148 1435 331 591 
74 1 651 967 526 811 
74 2 1122 1411 338 589 
75 1 640 939 500 758 
75 2 1122 1411 338 589 
76 1 644 945 513 782 
76 2 1144 1407 354 586 
77 1 644 945 513 782 
77 2 1106 1370 353 563 
78 1 644 945 513 782 
78 2 1106 1370 353 563 
79 1 644 945 513 782 
79 2 1111 1370 351 563 
80 1 581 910 511 782 
80 2 1111 1370 351 563 
81 1 615 929 517 765 
81 2 1111 1370 351 563 
82 1 615 929 517 765 
82 2 1120 1361 338 537 
83 1 615 929 517 765 
83 2 1107 1343 347 524 
84 1 632 936 499 766 
84 2 1238 1496 382 585 
85 1 632 936 499 766 
85 2 1228 1482 359 577 
86 1 632 936 499 766 
86 2 1114 1391 344 583 
87 1 632 936 499 766 
87 2 1088 1341 319 567 
88 1 640 938 477 743 
88 2 1129 1400 323 591 
89 1 640 938 477 743 
89 2 1094 1389 291 584 
90 1 640 938 477 743 
90 2 1077 1367 295 566 
91 1 626 925 482 733 
91 2 1109 1401 330 615 
92 1 616 897 469 743 
92 2 1043 1360 340 613 
93 1 618 893 443 716 
93 2 1018 1321 335 611 
94 1 620 883 466 709 
94 2 1053 1367 464 736 
95 1 620 883 466 709 
95 2 978 1321 357 633 
96 1 620 883 466 709 
96 2 929 1302 382 644 
97 1 601 856 453 694 
97 2 984 1369 522 754 
98 1 626 858 474 690 
98 2 994 1364 553 775 
99 1 607 869 504 708 
99 2 None None None None 
100 1 592 844 474 692 
100 2 978 1334 408 674 
101 1 597 854 474 696 
101 2 962 1343 414 696 
102 1 597 854 474 696 
102 2 985 1386 431 707 
103 1 612 873 450 702 
103 2 987 1376 447 725 
104 1 622 855 440 709 
104 2 931 1349 438 701 
105 1 613 825 441 694 
105 2 931 1349 438 701 
106 1 633 826 428 693 
106 2 1012 1425 475 764 
107 1 633 826 428 693 
107 2 1019 1430 462 762 
108 1 638 840 414 660 
108 2 1019 1430 462 762 
109 1 638 840 414 660 
109 2 1038 1442 467 778 
110 1 652 831 419 650 
110 2 1042 1428 461 789 
111 1 652 848 404 624 
111 2 1042 1428 461 789 
112 1 652 848 404 624 
112 2 1043 1426 494 829 
113 1 652 848 404 624 
113 2 984 1396 507 856 
114 1 655 843 386 624 
114 2 1024 1463 520 864 
115 1 699 860 378 642 
115 2 989 1437 524 868 
116 1 669 827 409 661 
116 2 976 1452 501 861 
117 1 669 827 409 661 
117 2 1057 1510 485 859 
118 1 660 830 407 650 
118 2 1008 1472 482 873 
119 1 660 833 371 600 
119 2 1024 1478 493 869 
120 1 623 806 382 608 
120 2 1060 1506 458 863 
121 1 632 882 389 609 
121 2 1018 1472 447 877 
122 1 593 850 376 575 
122 2 1057 1487 454 893 
123 1 601 853 367 538 
123 2 1057 1487 454 893 
124 1 559 786 342 514 
124 2 1057 1487 454 893 
125 1 588 785 354 509 
125 2 1057 1487 454 893 
126 1 592 786 365 493 
126 2 1059 1485 449 903 
127 1 579 761 390 492 
127 2 1073 1476 489 918 
128 1 563 733 406 500 
128 2 1061 1437 627 1027 
129 1 563 733 406 500 
129 2 1055 1409 615 1005 
130 1 598 764 345 466 
130 2 1031 1406 613 992 
131 1 562 702 333 464 
131 2 1083 1488 599 967 
132 1 562 702 333 464 
132 2 1016 1426 634 979 
133 1 551 711 327 438 
133 2 1036 1461 575 898 
134 1 553 713 305 434 
134 2 1033 1480 584 877 
135 1 None None None None 
135 2 1072 1547 571 836 
136 1 None None None None 
136 2 1172 1658 548 795 
137 1 None None None None 
137 2 1070 1577 530 784 
138 1 None None None None 
138 2 1204 1741 497 741 
139 1 None None None None 
139 2 1223 1733 500 747 
140 1 None None None None 
140 2 1236 1729 487 726 
141 1 None None None None 
141 2 1215 1679 463 678 
142 1 None None None None 
142 2 1324 1790 451 642 
143 1 None None None None 
143 2 1361 1820 459 648 
144 1 None None None None 
144 2 1361 1820 459 648 
145 1 None None None None 
145 2 1360 1840 477 643 
146 1 None None None None 
146 2 1420 1886 484 644 
147 1 None None None None 
147 2 1420 1886 484 644 
148 1 None None None None 
148 2 1392 1876 493 663 
149 1 None None None None 
149 2 1392 1876 493 663 
150 1 None None None None 
150 2 1401 1890 496 690 
151 1 None None None None 
151 2 1401 1890 496 690 
152 1 None None None None 
152 2 1433 1918 486 687 
153 1 None None None None 
153 2 1365 1825 513 741 
154 1 None None None None 
154 2 1371 1831 490 697 
155 1 None None None None 
155 2 1371 1831 490 697 
156 1 None None None None 
156 2 1371 1831 490 697 
157 1 None None None None 
157 2 1415 1876 483 695 
158 1 None None None None 
158 2 1429 1861 474 669 
159 1 None None None None 
159 2 1438 1858 457 659 
160 1 None None None None 
160 2 1451 1848 454 666 
161 1 None None None None 
161 2 1460 1861 437 669 
162 1 None None None None 
162 2 1555 1946 459 667 
163 1 None None None None 
163 2 1571 1990 420 649 
164 1 None None None None 
164 2 1572 2007 412 654 
165 1 None None None None 
165 2 1582 1994 433 671 
166 1 None None None None 
166 2 1545 1970 385 601 
167 1 None None None None 
167 2 1545 1941 384 596 
168 1 None None None None 
168 2 1512 1901 379 579 
169 1 None None None None 
169 2 1464 1827 376 588 
170 1 None None None None 
170 2 1467 1822 352 566 
171 1 None None None None 
171 2 1468 1801 337 531 
172 1 None None None None 
172 2 1450 1779 331 528 
173 1 None None None None 
173 2 1516 1843 385 571 
174 1 None None None None 
174 2 1499 1812 366 533 
175 1 None None None None 
175 2 1474 1762 377 519 
176 1 None None None None 
176 2 1462 1733 367 501 
177 1 None None None None 
177 2 1462 1733 367 501 
178 1 None None None None 
178 2 1410 1669 383 541 
179 1 None None None None 
179 2 1332 1619 457 602 
180 1 553 713 305 434 
180 2 1293 1586 446 592 
181 1 471 634 277 433 
181 2 1290 1575 446 578 
182 1 491 667 268 425 
182 2 1204 1513 555 716 
183 1 530 735 273 401 
183 2 1193 1500 591 782 
184 1 473 699 317 473 
184 2 1172 1498 523 695 
185 1 488 744 332 497 
185 2 1172 1498 523 695 
186 1 379 648 322 506 
186 2 1172 1498 523 695 
187 1 354 593 349 522 
187 2 1222 1537 550 714 
188 1 363 601 359 542 
188 2 1217 1546 542 703 
189 1 371 626 324 536 
189 2 1216 1528 481 669 
190 1 371 626 324 536 
190 2 1229 1536 443 653 
191 1 353 631 340 543 
191 2 1215 1495 441 664 
192 1 356 654 363 550 
192 2 1215 1495 441 664 
193 1 337 664 347 556 
193 2 1172 1445 415 660 
194 1 337 664 347 556 
194 2 1164 1411 362 637 
195 1 331 647 355 558 
195 2 1139 1362 336 626 
196 1 302 614 326 548 
196 2 1137 1330 249 535 
197 1 302 597 320 543 
197 2 1125 1295 309 573 
198 1 254 534 334 555 
198 2 1108 1254 331 574 
199 1 273 535 327 528 
199 2 1067 1228 351 611 
200 1 251 541 313 538 
200 2 1052 1193 365 606 
201 1 191 499 322 536 
201 2 1027 1162 292 560 
202 1 151 477 350 537 
202 2 986 1142 349 620 
203 1 165 519 368 531 
203 2 1002 1140 277 570 
204 1 165 519 368 531 
204 2 1012 1125 342 640 
205 1 310 693 373 547 
205 2 979 1109 262 588 
206 1 310 693 373 547 
206 2 1001 1126 246 592 
207 1 345 747 379 565 
207 2 1013 1129 252 582 
208 1 1055 1145 112 462 
208 2 400 794 405 582 
209 1 None None None None 
209 2 439 813 391 580 
210 1 446 793 399 596 
210 2 1095 1183 65 430 
211 1 716 1132 402 561 
211 2 1099 1209 48 431 
212 1 714 1135 371 540 
212 2 1101 1210 152 561 
213 1 726 1163 382 576 
213 2 1136 1265 181 569 
214 1 759 1205 373 592 
214 2 1143 1267 143 530 
215 1 866 1324 365 593 
215 2 1146 1287 184 594 
216 1 891 1357 361 591 
216 2 1142 1280 274 714 
217 1 903 1346 374 617 
217 2 1152 1283 181 632 
218 1 903 1346 374 617 
218 2 1180 1288 175 637 
219 1 907 1335 403 662 
219 2 1162 1299 189 665 
220 1 907 1335 403 662 
220 2 1162 1299 189 665 
221 1 872 1303 383 614 
221 2 1167 1291 132 588 
222 1 852 1308 352 607 
222 2 1153 1275 156 642 
223 1 815 1283 330 578 
223 2 1117 1262 115 613 
224 1 824 1303 354 600 
224 2 1069 1237 104 580 
225 1 722 1204 349 580 
225 2 1039 1212 123 620 
226 1 712 1200 343 560 
226 2 996 1179 118 585 
227 1 678 1183 358 581 
227 2 954 1153 134 621 
228 1 622 1121 365 565 
228 2 928 1103 153 631 
229 1 606 1095 359 559 
229 2 928 1085 144 629 
230 1 583 1079 335 548 
230 2 901 1057 145 605 
231 1 529 1045 345 559 
231 2 877 1033 150 605 
232 1 425 970 350 535 
232 2 847 1006 162 606 
233 1 324 897 320 483 
233 2 None None None None 
234 1 231 784 325 477 
234 2 None None None None 
235 1 369 951 299 435 
235 2 1035 1166 -19 373 
236 1 328 927 292 419 
236 2 1045 1159 -22 350 
237 1 372 993 283 425 
237 2 1026 1128 -58 318 
238 1 488 1079 262 375 
238 2 1028 1114 -72 311 
239 1 586 1178 226 365 
239 2 1042 1118 -87 309 
240 1 545 1132 185 349 
240 2 1050 1136 -61 328 
241 1 120 778 177 364 
241 2 1071 1143 -54 345 
242 1 133 786 173 347 
242 2 1064 1145 -56 315 
243 1 222 859 142 312 
243 2 1068 1137 49 420 
244 1 200 810 126 300 
244 2 1088 1143 7 405 
245 1 150 732 167 371 
245 2 1076 1129 9 409 
246 1 191 776 140 367 
246 2 None None None None 
247 1 191 776 140 367 
247 2 1069 1170 -60 388 
248 1 219 805 107 346 
248 2 1074 1151 -138 313 
249 1 253 840 93 333 
249 2 1057 1142 -180 286 
250 1 253 840 93 333 
250 2 None None None None 
251 1 264 880 81 300 
251 2 1028 1163 -340 105 
252 1 236 872 68 311 
252 2 1025 1180 -196 224 
253 1 236 872 68 311 
253 2 None None None None 
254 1 362 1016 145 367 
254 2 1222 1417 -236 184 
255 1 247 928 149 355 
255 2 1353 1575 -199 213 
256 1 201 889 171 353 
256 2 1340 1543 -177 251 
257 1 201 889 171 353 
257 2 1312 1528 -49 401 
258 1 162 861 184 358 
258 2 1318 1508 -43 409 
259 1 162 861 184 358 
259 2 1247 1459 -44 394 
260 1 162 861 184 358 
260 2 1236 1441 -72 386 
261 1 120 807 208 388 
261 2 1187 1417 -69 401 
262 1 213 904 218 402 
262 2 1206 1415 -43 398 
263 1 247 918 246 419 
263 2 1206 1415 -43 398 
264 1 247 918 246 419 
264 2 1166 1347 -34 401 
265 1 386 1087 267 465 
265 2 1181 1343 -37 399 
266 1 337 1065 254 467 
266 2 1159 1300 -36 414 
267 1 355 1095 230 465 
267 2 1073 1227 -56 407 
268 1 369 1109 249 467 
268 2 1082 1263 -40 405 
269 1 379 1146 207 451 
269 2 1082 1263 -40 405 
270 1 1094 1275 -32 406 
270 2 417 1209 214 449 
271 1 584 738 140 536 
271 2 546 1315 202 416 
272 1 625 767 157 544 
272 2 584 1365 212 431 
273 1 645 814 187 554 
273 2 608 1389 207 418 
274 1 656 800 76 444 
274 2 637 1435 187 401 
275 1 667 804 120 485 
275 2 694 1513 145 382 
276 1 688 844 130 486 
276 2 663 1486 136 385 
277 1 688 844 130 486 
277 2 663 1486 136 385 
278 1 676 859 99 465 
278 2 663 1486 136 385 
279 1 691 865 117 458 
279 2 663 1486 136 385 
280 1 691 865 117 458 
280 2 767 1580 112 387 
281 1 718 891 104 453 
281 2 799 1597 118 388 
282 1 718 891 104 453 
282 2 730 1513 128 371 
283 1 738 913 125 487 
283 2 745 1503 121 379 
284 1 738 913 125 487 
284 2 730 1460 129 395 
285 1 712 873 113 499 
285 2 730 1460 129 395 
286 1 688 853 112 525 
286 2 690 1427 152 414 
287 1 659 803 116 559 
287 2 636 1364 153 387 
288 1 628 795 123 557 
288 2 644 1374 169 398 
289 1 610 798 136 582 
289 2 623 1378 168 424 
290 1 610 798 136 582 
290 2 627 1408 178 421 
291 1 572 735 166 597 
291 2 627 1408 178 421 
292 1 545 724 171 618 
292 2 626 1422 183 434 
293 1 508 715 122 578 
293 2 523 1349 195 446 
294 1 508 715 122 578 
294 2 517 1359 212 452 
295 1 476 708 130 602 
295 2 517 1359 212 452 
296 1 462 702 79 580 
296 2 524 1355 209 458 
297 1 442 667 121 622 
297 2 672 1513 200 455 
298 1 442 667 121 622 
298 2 765 1617 224 456 
299 1 450 676 41 528 
299 2 814 1654 223 442 
300 1 473 682 62 540 
300 2 814 1654 223 442 
301 1 562 717 10 429 
301 2 814 1654 223 442 
302 1 562 717 10 429 
302 2 848 1703 220 419 
303 1 538 714 -1 421 
303 2 962 1795 206 381 
304 1 538 714 -1 421 
304 2 1015 1827 220 389 
305 1 511 674 8 443 
305 2 1015 1827 220 389 
306 1 511 674 8 443 
306 2 993 1819 207 384 
307 1 532 715 -18 413 
307 2 1037 1833 172 358 
308 1 532 715 -18 413 
308 2 1013 1788 168 338 
309 1 532 715 -18 413 
309 2 1013 1771 181 340 
310 1 516 727 11 420 
310 2 1013 1771 181 340 
311 1 516 727 11 420 
311 2 873 1641 186 366 
312 1 862 1650 192 387 
312 2 472 709 -6 433 
313 1 763 1559 317 489 
313 2 None None None None 
314 1 763 1559 317 489 
314 2 479 766 33 429 
315 1 798 1573 335 486 
315 2 509 817 69 437 
316 1 750 1501 359 483 
316 2 509 817 69 437 
317 1 800 1552 360 502 
317 2 508 819 75 468 
318 1 713 1479 367 492 
318 2 506 800 53 454 
319 1 666 1428 364 476 
319 2 651 961 192 618 
320 1 740 1501 368 489 
320 2 644 927 274 721 
321 1 740 1501 368 489 
321 2 644 927 274 721 
322 1 644 1426 365 474 
322 2 578 876 305 730 
323 1 644 1426 365 474 
323 2 601 880 300 706 
324 1 644 1426 365 474 
324 2 574 875 301 702 
325 1 644 1426 365 474 
325 2 574 875 301 702 
326 1 644 1426 365 474 
326 2 574 875 301 702 
327 1 644 1426 365 474 
327 2 574 875 301 702 
328 1 651 1441 377 484 
328 2 574 875 301 702 
329 1 647 1424 385 493 
329 2 595 890 319 723 
330 1 744 1513 392 501 
330 2 616 883 317 718 
331 1 856 1581 393 517 
331 2 632 891 335 724 
332 1 856 1581 393 517 
332 2 648 895 340 703 
333 1 889 1591 386 523 
333 2 648 895 340 703 
334 1 847 1521 381 534 
334 2 642 883 333 710 
335 1 847 1521 381 534 
335 2 635 864 333 688 
336 1 872 1519 400 523 
336 2 642 898 312 643 
337 1 875 1515 394 520 
337 2 596 870 277 628 
338 1 875 1515 394 520 
338 2 581 866 281 637 
339 1 854 1488 392 527 
339 2 558 867 279 630 
340 1 841 1502 388 537 
340 2 558 867 279 630 
341 1 787 1444 365 538 
341 2 558 867 279 630 
342 1 824 1489 340 522 
342 2 566 876 227 605 
343 1 824 1489 340 522 
343 2 593 891 257 640 
344 1 824 1489 340 522 
344 2 563 882 237 623 
345 1 824 1489 340 522 
345 2 568 888 238 619 
346 1 824 1489 340 522 
346 2 570 887 259 666 
347 1 837 1476 321 522 
347 2 628 934 242 636 
348 1 862 1486 322 521 
348 2 628 934 242 636 
349 1 862 1486 322 521 
349 2 656 952 248 650 
350 1 838 1490 355 544 
350 2 632 951 264 686 
351 1 849 1475 384 552 
351 2 632 951 264 686 
352 1 838 1469 377 564 
352 2 638 945 277 701 
353 1 844 1488 369 583 
353 2 646 942 291 708 
354 1 827 1443 387 605 
354 2 646 942 291 708 
355 1 827 1443 387 605 
355 2 641 947 302 710 
356 1 827 1443 387 605 
356 2 630 959 313 712 
357 1 786 1419 394 617 
357 2 641 946 307 694 
358 1 786 1419 394 617 
358 2 641 946 307 694 
359 1 807 1430 386 637 
359 2 656 973 291 672 
360 1 793 1443 391 623 
360 2 665 967 304 655 
361 1 1317 1991 269 463 
361 2 None None None None 
362 1 1317 1991 269 463 
362 2 None None None None 
363 1 1289 1960 262 462 
363 2 None None None None 
364 1 1289 1960 262 462 
364 2 None None None None 
365 1 1217 1877 279 497 
365 2 None None None None 
366 1 1217 1877 279 497 
366 2 None None None None 
367 1 1236 1869 284 488 
367 2 997 1398 296 501 
368 1 1265 1868 309 507 
368 2 1037 1424 327 513 
369 1 1256 1850 327 519 
369 2 1037 1424 327 513 
370 1 1222 1823 365 536 
370 2 1016 1426 339 505 
371 1 1185 1769 331 511 
371 2 1088 1471 358 526 
372 1 1187 1764 327 527 
372 2 1111 1468 368 522 
373 1 1151 1729 339 546 
373 2 1057 1390 389 523 
374 1 1124 1719 356 562 
374 2 1057 1390 389 523 
375 1 1074 1657 346 549 
375 2 1018 1335 419 527 
376 1 1026 1636 382 564 
376 2 1031 1361 412 537 
377 1 1002 1625 396 585 
377 2 1055 1384 465 560 
378 1 871 1481 376 557 
378 2 1053 1369 476 575 
379 1 907 1495 408 573 
379 2 1075 1404 474 596 
380 1 983 1591 417 566 
380 2 1045 1358 485 615 
381 1 983 1591 417 566 
381 2 1072 1372 493 617 
382 1 951 1566 430 602 
382 2 1072 1372 493 617 
383 1 947 1588 439 606 
383 2 1122 1395 541 635 
384 1 966 1600 428 596 
384 2 1156 1405 522 620 
385 1 1049 1663 418 612 
385 2 1172 1448 483 605 
386 1 1080 1696 394 580 
386 2 1164 1455 449 598 
387 1 1042 1681 372 552 
387 2 1164 1455 449 598 
388 1 1011 1669 384 542 
388 2 1164 1455 449 598 
389 1 1016 1671 373 536 
389 2 1138 1457 454 595 
390 1 1016 1671 373 536 
390 2 1138 1457 454 595 
391 1 940 1654 429 559 
391 2 1161 1457 455 589 
392 1 947 1645 436 571 
392 2 1128 1445 465 605 
393 1 935 1648 429 560 
393 2 1132 1426 450 620 
394 1 935 1648 429 560 
394 2 1132 1426 450 620 
395 1 962 1688 437 583 
395 2 1098 1371 465 616 
396 1 962 1688 437 583 
396 2 1172 1452 455 614 
397 1 996 1741 439 598 
397 2 1108 1377 467 623 
398 1 973 1744 458 612 
398 2 1165 1411 500 649 
399 1 971 1734 488 612 
399 2 1135 1409 505 628 
400 1 1014 1774 506 623 
400 2 1108 1360 539 637 
401 1 1014 1774 506 623 
401 2 1120 1392 549 662 
402 1 999 1740 504 628 
402 2 1101 1387 531 673 
403 1 976 1711 474 624 
403 2 1101 1387 531 673 
404 1 965 1717 469 628 
404 2 1095 1375 498 661 
405 1 985 1730 452 622 
405 2 1131 1417 472 643 
406 1 986 1731 440 606 
406 2 1109 1377 490 650 
407 1 986 1731 440 606 
407 2 1065 1335 491 656 
408 1 954 1708 439 596 
408 2 1065 1335 491 656 
409 1 944 1705 445 597 
409 2 1065 1335 491 656 
410 1 992 1736 447 577 
410 2 1065 1335 491 656 
411 1 992 1736 447 577 
411 2 1078 1374 492 641 
412 1 975 1712 448 594 
412 2 1039 1354 513 638 
413 1 990 1707 460 628 
413 2 1034 1357 504 649 
414 1 990 1707 460 628 
414 2 1006 1331 519 663 
415 1 1001 1692 471 622 
415 2 995 1302 521 688 
416 1 1001 1692 471 622 
416 2 995 1302 521 688 
417 1 1024 1719 499 636 
417 2 994 1315 518 696 
418 1 1066 1744 512 653 
418 2 994 1315 518 696 
419 1 1066 1744 512 653 
419 2 985 1320 534 705 
420 1 1030 1717 505 663 
420 2 968 1308 493 688 
421 1 960 1642 586 701 
421 2 966 1279 515 724 
422 1 954 1630 606 701 
422 2 977 1270 517 723 
423 1 892 1591 629 721 
423 2 990 1278 555 734 
424 1 920 1606 632 734 
424 2 990 1278 555 734 
425 1 920 1606 632 734 
425 2 988 1249 578 763 
426 1 920 1606 632 734 
426 2 992 1253 553 766 
427 1 920 1606 632 734 
427 2 992 1253 553 766 
428 1 920 1606 632 734 
428 2 1021 1277 523 757 
429 1 920 1606 632 734 
429 2 1021 1277 523 757 
430 1 920 1606 632 734 
430 2 1021 1277 523 757 
431 1 920 1606 632 734 
431 2 1021 1277 523 757 
432 1 920 1606 632 734 
432 2 1038 1272 540 774 
433 1 920 1606 632 734 
433 2 1032 1256 512 766 
434 1 946 1631 607 737 
434 2 1032 1256 512 766 
435 1 1001 1666 593 735 
435 2 1021 1227 505 779 
436 1 990 1649 609 742 
436 2 1021 1227 505 779 
437 1 992 1625 629 736 
437 2 1028 1230 503 796 
438 1 992 1625 629 736 
438 2 1028 1230 503 796 
439 1 995 1612 620 741 
439 2 1028 1230 503 796 
440 1 995 1612 620 741 
440 2 1045 1222 473 791 
441 1 978 1576 629 728 
441 2 1030 1209 460 772 
442 1 978 1576 629 728 
442 2 1030 1209 460 772 
443 1 978 1576 629 728 
443 2 1042 1192 456 756 
444 1 978 1576 629 728 
444 2 1042 1192 456 756 
445 1 961 1542 643 727 
445 2 1027 1170 509 801 
446 1 973 1554 622 723 
446 2 1024 1164 517 805 
447 1 975 1549 627 726 
447 2 1018 1162 439 737 
448 1 975 1549 627 726 
448 2 None None None None 
449 1 975 1549 627 726 
449 2 None None None None 
450 1 927 1502 618 714 
450 2 None None None None 
451 1 927 1502 618 714 
451 2 None None None None 
452 1 927 1502 618 714 
452 2 None None None None 
453 1 927 1502 618 714 
453 2 None None None None 
454 1 927 1502 618 714 
454 2 None None None None 
455 1 903 1480 618 719 
455 2 None None None None 
456 1 903 1480 618 719 
456 2 None None None None 
457 1 903 1480 618 719 
457 2 None None None None 
458 1 890 1477 588 708 
458 2 None None None None 
459 1 861 1440 574 715 
459 2 None None None None 
460 1 851 1434 533 684 
460 2 None None None None 
461 1 739 1330 560 714 
461 2 None None None None 
462 1 739 1330 560 714 
462 2 None None None None 
463 1 739 1330 560 714 
463 2 None None None None 
464 1 833 1408 497 676 
464 2 None None None None 
465 1 875 1424 505 659 
465 2 None None None None 
466 1 771 1331 516 692 
466 2 None None None None 
467 1 837 1368 493 661 
467 2 None None None None 
468 1 837 1368 493 661 
468 2 None None None None 
469 1 852 1391 481 672 
469 2 None None None None 
470 1 854 1365 460 653 
470 2 None None None None 
471 1 886 1381 466 645 
471 2 None None None None 
472 1 868 1369 438 631 
472 2 None None None None 
473 1 885 1391 409 596 
473 2 None None None None 
474 1 874 1377 401 604 
474 2 None None None None 
475 1 874 1377 401 604 
475 2 None None None None 
476 1 874 1377 401 604 
476 2 None None None None 
477 1 874 1377 401 604 
477 2 None None None None 
478 1 891 1385 373 586 
478 2 None None None None 
479 1 891 1385 373 586 
479 2 None None None None 
480 1 916 1384 380 579 
480 2 None None None None 
481 1 911 1350 371 576 
481 2 None None None None 
482 1 954 1415 358 563 
482 2 None None None None 
483 1 954 1415 358 563 
483 2 None None None None 
484 1 908 1376 335 556 
484 2 None None None None 
485 1 962 1427 316 543 
485 2 None None None None 
486 1 946 1394 322 536 
486 2 None None None None 
487 1 958 1387 306 528 
487 2 None None None None 
488 1 958 1387 306 528 
488 2 None None None None 
489 1 988 1435 304 510 
489 2 None None None None 
490 1 946 1404 271 504 
490 2 None None None None 
491 1 963 1434 270 499 
491 2 None None None None 
492 1 963 1434 270 499 
492 2 None None None None 
493 1 963 1434 270 499 
493 2 None None None None 
494 1 963 1414 257 487 
494 2 None None None None 
495 1 970 1399 239 482 
495 2 None None None None 
496 1 958 1417 250 464 
496 2 None None None None 
497 1 988 1432 257 457 
497 2 None None None None 
498 1 1002 1429 256 461 
498 2 None None None None 
499 1 985 1438 247 456 
499 2 None None None None 
500 1 985 1438 247 456 
500 2 None None None None 
501 1 992 1446 245 436 
501 2 None None None None 
502 1 997 1429 218 435 
502 2 None None None None 
503 1 997 1429 218 435 
503 2 None None None None 
504 1 997 1429 218 435 
504 2 None None None None 
505 1 997 1429 218 435 
505 2 None None None None 
506 1 997 1429 218 435 
506 2 None None None None 
507 1 997 1429 218 435 
507 2 None None None None 
508 1 981 1394 198 413 
508 2 None None None None 
509 1 1025 1411 214 410 
509 2 None None None None 
510 1 1039 1429 196 401 
510 2 None None None None 
